,datetime,ID,lat,lon,avg_vel,address
44120,2017-10-17 13:00:00,1130542186,4.354484,50.86848,20.354166666666668,<[OK] Mapquest - Reverse [Avenue du Port - Havenlaan]>
43159,2017-10-17 13:00:00,1595994575,4.359885,50.87115,15.983333333333333,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
43771,2017-10-17 13:00:00,75180076,4.359798,50.87133,14.390243902439025,<[OK] Mapquest - Reverse [Quai de Willebroeck - Willebroekkaai]>
43639,2017-10-17 13:00:00,3036099770,4.360647,50.87237,16.675,<[OK] Mapquest - Reverse [Square Jules De Trooz - Jules De Troozsquare]>
44669,2017-10-17 14:00:00,4247469238,4.360837,50.87262,15.39344262295082,<[OK] Mapquest - Reverse [Square Jules De Trooz - Jules De Troozsquare]>
44329,2017-10-17 14:00:00,75180076,4.358934,50.87133,0.0,<[OK] Mapquest - Reverse [AllÃ©e Verte - Groendreef]>
44444,2017-10-17 14:00:00,149361818,4.347653,50.87684,10.522727272727273,<[OK] Mapquest - Reverse [Place Ã‰mile Bockstael - Emile Bockstaelplein]>
44602,2017-10-17 14:00:00,1130542186,4.3473,50.86099,1.0,<[OK] Mapquest - Reverse [Rue Van Meyel - Van Meyelstraat]>
45422,2017-10-17 15:00:00,2701869097,4.360448,50.87211,23.88372093023256,<[OK] Mapquest - Reverse [Square Jules De Trooz - Jules De Troozsquare]>
45552,2017-10-17 15:00:00,1606841784,4.359873,50.87143,13.40625,<[OK] Mapquest - Reverse [AllÃ©e Verte - Groendreef]>
45229,2017-10-17 15:00:00,1474772750,4.361126,50.87297,14.41095890410959,<[OK] Mapquest - Reverse [Quai des Usines - Werkhuizenkaai]>
45313,2017-10-17 15:00:00,149361818,4.34821,50.87218,13.692307692307692,<[OK] Mapquest - Reverse [Rue de Moorslede - Moorsledestraat]>
45263,2017-10-17 15:00:00,1871092339,4.35816,50.86371,17.28735632183908,<[OK] Mapquest - Reverse [Rue Rogier - Rogierstraat]>
46039,2017-10-17 16:00:00,3036099770,4.35184,50.86523,27.130434782608695,<[OK] Mapquest - Reverse [Place des Armateurs - Redersplein]>
45829,2017-10-17 16:00:00,149361818,4.348854,50.87714,16.4,<[OK] Mapquest - Reverse [Rue Marie-Christine - Maria-Christinastraat]>
46368,2017-10-17 17:00:00,3036099770,4.35268,50.86619,3.0,<[OK] Mapquest - Reverse [Avenue du Port - Havenlaan]>
